class,confidence,distance_rel,direction,x1,y1,x2,y2
truck,0.9132,0.3563,Center,714,316,878,438
car,0.7029,0.4451,Left,636,390,703,459
car,0.9216,0.4513,Center,915,335,1333,681
car,0.5059,0.4833,Left,583,378,655,473
car,0.8683,0.4859,Left,461,379,626,499
car,0.9165,0.4863,Left,151,382,431,541
bicycle,0.8743,nan,Right,1591,384,1786,514
car,0.8023,nan,Right,1436,363,1660,452
traffic light,0.5671,nan,Right,1444,212,1475,292
person,0.5152,nan,Center,1151,373,1229,429
car,0.4942,nan,Center,1280,386,1335,443
stop sign,0.3997,nan,Right,1409,286,1444,336
car,0.3481,nan,Right,1874,358,2047,456
traffic light,0.2815,0.0284,Left,570,51,630,125
